Commune;Code département;Département;EPCI;Code région;Région;Compte;Date de la donnée;Code EPCI;Régime d'exploitation;Puissance de raccordement;Filière;Coordonnées géographiques;Code Insee Commune
Ploumagoar;22;Côtes-d'Armor;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;53;Bretagne;1;2017-12;200067981;;;Hydraulique;48.5304587178, -3.109565675;22225
Plémet;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;1;2017-12;200067460;Realised;160.0;Hydraulique;48.1860837585, -2.5859903316;22183
Riec-sur-Bélon;29;Finistère;CA Quimperlé Communauté;53;Bretagne;1;2017-12;242900694;;;Hydraulique;47.8492219169, -3.69069464862;29236
Saint-Abraham;56;Morbihan;CC de l'Oust à Brocéliande;53;Bretagne;1;2017-12;200066785;Realised;350.0;Hydraulique;47.8475889201, -2.40640451407;56202
Saint-Aubin-des-Landes;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;1;2017-12;200039022;;;Hydraulique;48.1003176943, -1.29173658407;35252
Baud;56;Morbihan;CC Centre Morbihan Communauté;53;Bretagne;1;2018-12;200067221;Project;77.0;Hydraulique;47.8753982698, -3.03131524701;56010
Bréhan;56;Morbihan;CC Pontivy Communauté;53;Bretagne;1;2018-12;245614433;;;Hydraulique;48.0699465844, -2.68732663005;56024
Inzinzac-Lochrist;56;Morbihan;CA Lorient Agglomération;53;Bretagne;2;2018-12;200042174;Realised;748.0;Hydraulique;47.8558359743, -3.25178122558;56090
Lamballe-Armor;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;1;2018-12;200069391;Realised;410.0;Hydraulique;48.4684404751, -2.49534815954;22093
Lignol;56;Morbihan;CC Roi Morvan Communauté;53;Bretagne;1;2018-12;245614417;;;Hydraulique;48.0272907982, -3.27168989222;56110
Ploufragan;22;Côtes-d'Armor;CA Saint-Brieuc Armor Agglomération;53;Bretagne;1;2018-12;200069409;Realised;1613.0;Hydraulique;48.4877482968, -2.80851630928;22215
Ploumagoar;22;Côtes-d'Armor;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;53;Bretagne;1;2018-12;200067981;;;Hydraulique;48.5304587178, -3.109565675;22225
Saint-Aignan;56;Morbihan;CC Pontivy Communauté;53;Bretagne;2;2018-12;245614433;Realised;630.0;Hydraulique;48.1820807024, -3.04891714742;56203
Saint-Aubin-des-Landes;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;1;2018-12;200039022;;;Hydraulique;48.1003176943, -1.29173658407;35252
Saint-Laurent-sur-Oust;56;Morbihan;CC de l'Oust à Brocéliande;53;Bretagne;1;2018-12;200066785;Realised;350.0;Hydraulique;47.7918218379, -2.31430772802;56224
Treffrin;22;Côtes-d'Armor;CC Poher communauté;53;Bretagne;1;2018-12;242900744;;;Hydraulique;48.2985314083, -3.52731682316;22351
Val d'Oust;56;Morbihan;CC Ploërmel Communauté;53;Bretagne;1;2018-12;200066777;;;Hydraulique;47.8685533688, -2.45624648415;56197
Brech;56;Morbihan;CC Auray Quiberon Terre Atlantique;53;Bretagne;1;2019-12;200043123;;;Hydraulique;47.709389623, -3.02425370135;56023
Châtelaudren-Plouagat;22;Côtes-d'Armor;CC Leff Armor Communauté;53;Bretagne;1;2019-12;200069086;Realised;45.0;Hydraulique;48.5303656854, -2.98952865818;22206
Forges de Lanouée;56;Morbihan;CC Ploërmel Communauté;53;Bretagne;2;2019-12;200066777;Realised;687.0;Hydraulique;47.9872211991, -2.57567607546;56102
Guern;56;Morbihan;CC Pontivy Communauté;53;Bretagne;1;2019-12;245614433;;;Hydraulique;48.034812094, -3.10210819961;56076
Inzinzac-Lochrist;56;Morbihan;CA Lorient Agglomération;53;Bretagne;2;2019-12;200042174;Realised;748.0;Hydraulique;47.8558359743, -3.25178122558;56090
Loc-Envel;22;Côtes-d'Armor;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;53;Bretagne;1;2019-12;200067981;;;Hydraulique;48.5098602173, -3.40963775172;22129
Pontivy;56;Morbihan;CC Pontivy Communauté;53;Bretagne;1;2019-12;245614433;Realised;50.0;Hydraulique;48.0729953877, -2.97046592885;56178
Priziac;56;Morbihan;CC Roi Morvan Communauté;53;Bretagne;2;2019-12;245614417;Realised;645.0;Hydraulique;48.055864397, -3.43477253026;56182
Saint-Germain-en-Coglès;35;Ille-et-Vilaine;CC Couesnon Marches de Bretagne;53;Bretagne;1;2019-12;200070688;;;Hydraulique;48.3974434735, -1.26442564597;35273
Saint-Laurent-sur-Oust;56;Morbihan;CC de l'Oust à Brocéliande;53;Bretagne;1;2019-12;200066785;Realised;350.0;Hydraulique;47.7918218379, -2.31430772802;56224
Scaër;29;Finistère;CA Quimperlé Communauté;53;Bretagne;1;2019-12;242900694;Realised;360.0;Hydraulique;48.0279903072, -3.73073835764;29274
Val d'Oust;56;Morbihan;CC Ploërmel Communauté;53;Bretagne;1;2019-12;200066777;;;Hydraulique;47.8685533688, -2.45624648415;56197
Guern;56;Morbihan;CC Pontivy Communauté;53;Bretagne;1;2020-12;245614433;;;Hydraulique;48.034812094, -3.10210819961;56076
Guipry-Messac;35;Ille-et-Vilaine;CC Vallons de Haute-Bretagne Communauté;53;Bretagne;1;2020-12;200043990;Realised;36.0;Hydraulique;47.8050001887, -1.79981410683;35176
Huelgoat;29;Finistère;CC Monts d'Arrée Communauté;53;Bretagne;1;2020-12;200067197;Realised;400.0;Hydraulique;48.3615514061, -3.75817537147;29081
Inzinzac-Lochrist;56;Morbihan;CA Lorient Agglomération;53;Bretagne;2;2020-12;200042174;Realised;748.0;Hydraulique;47.8558359743, -3.25178122558;56090
La Bouëxière;35;Ille-et-Vilaine;CC Liffré-Cormier Communauté;53;Bretagne;1;2020-12;243500774;;;Hydraulique;48.1743733249, -1.43646357128;35031
Lignol;56;Morbihan;CC Roi Morvan Communauté;53;Bretagne;1;2020-12;245614417;;;Hydraulique;48.0272907982, -3.27168989222;56110
Plouasne;22;Côtes-d'Armor;CA Dinan Agglomération;53;Bretagne;1;2020-12;200068989;Realised;2500.0;Hydraulique;48.3117473235, -2.00863040053;22208
