Geo Point;Geo Shape;id;search_id;nom;surface;date_creation;image;site_web;longitude;latitude;description;credit_photo;site_web_ext;lien_plaquette;nom_long
48.87388545798533, -3.0832834683639097;"{""coordinates"": [[[[-3.07039206, 48.87359067], [-3.0848193, 48.86899164], [-3.0859894, 48.86824814], [-3.0862774, 48.86787014], [-3.0864516, 48.86751624], [-3.0863567, 48.86717344], [-3.0864853, 48.86683754], [-3.0865613, 48.86661054], [-3.0867402, 48.86655064], [-3.0872579, 48.86645304], [-3.0876573, 48.86637774], [-3.0888023, 48.86637174], [-3.0899064, 48.86619154], [-3.0911451, 48.86688794], [-3.091748, 48.86741384], [-3.0918601, 48.86756614], [-3.0916469, 48.86788774], [-3.0919997, 48.86785024], [-3.0922056, 48.86751414], [-3.0922901, 48.86722764], [-3.0920817, 48.86711714], [-3.0926697, 48.86647214], [-3.0930434, 48.86651524], [-3.0949332, 48.86611894], [-3.0961053, 48.86600574], [-3.0978103, 48.86557484], [-3.100351, 48.86626944], [-3.1008983, 48.86662644], [-3.1008762, 48.86687314], [-3.101457, 48.86690214], [-3.1016408, 48.86679094], [-3.1022583, 48.86748244], [-3.0713956, 48.88539364], [-3.07039206, 48.87359067]]]], ""type"": ""MultiPolygon""}";02;reserve_naturelle_regionale.02;Sillon de Talbert;203.67;15/12/2006;https://kartenn.region-bretagne.fr/img/rnr/Talbert-J_Houron.jpg;http://www.reserves-naturelles.org/sillon-de-talbert;-3.08285;48.8731;Le sillon de Talbert est une curiosité géologique qui s’étire en pleine mer depuis la presqu’île de Lézardrieux dans le Trégor. Cette flèche large de 100 m et longue de 3,2 km accueille la nidification de petits oiseaux rares et menacés, les gravelots, dont les œufs se confondent avec les galets. Comment ce sillon s’est-il formé ? Probablement suite à la remontée du niveau marin qui a suivi la dernière période glaciaire. Selon la légende, Merlin aurait construit ce passage en déversant des millions de cailloux pour rejoindre la fée Viviane.;Le sillon de Talbert, une virgule qui s’avance dans la mer  © Julien Houron;http://www.mairie-pleubian.fr;https://kartenn.region-bretagne.fr/doc/rnr/Plaquette_RNR_Talbert.pdf;Réserve naturelle du sillon de Talbert
48.57140869052924, -3.551335943267907;;09;reserve_naturelle_regionale.09;Landes, prairies et étangs de Plounérin;163.85;01/07/2015;https://kartenn.region-bretagne.fr/img/rnr/Plouénrin-Maïwenn_Le_Borgne.jpg;http://www.reserves-naturelles.org/landes-prairies-et-etangs-de-plounerin;-3.55134;48.5714;Les landes, prairies et étangs de Plounérin sont située à l’ouest des Côtes d’Armor, au cœur du Trégor historique et font figure de zone de transition géographique entre le littoral et les contreforts des Monts d’Arrée. La richesse écologique du site réside dans la mosaïque des milieux humides et pauvres en éléments nutritifs qui la compose : landes, tourbières, étangs… Comme dans beaucoup d’espaces dits naturels, l’équilibre du site réside dans l’action conjointe de l’Homme et de la nature.;À Plounérin, l’entretien des pairies de la réserve est assuré par des agriculteurs © Maïwenn Le Borg;https://www.lannion-tregor.com/fr/environnement/les-espaces-naturels.html;https://kartenn.region-bretagne.fr/doc/rnr/Plaquette_RNR_Plounerin.pdf;Réserve naturelle des landes, prairies et étangs de Plounérin
