Commune;Code département;Département;EPCI;Code région;Région;Compte;Date de la donnée;Code EPCI;Régime d'exploitation;Puissance de raccordement;Filière;Coordonnées géographiques;Code Insee Commune
Tréfumel;22;Côtes-d'Armor;CA Dinan Agglomération;53;Bretagne;1;2018-12;200068989;Realised;66.0;Solaire;48.33724484, -2.023911399;22352
Trégastel;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;10;2018-12;200065928;Realised;31.979999999999997;Solaire;48.817089451, -3.507270289;22353
Trégrom;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;1;2018-12;200065928;Realised;90.0;Solaire;48.594792763, -3.402551016;22359
Tréguier;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;2;2018-12;200065928;;;Solaire;48.784342126, -3.232249906;22362
Trégunc;29;Finistère;CA Concarneau Cornouaille Agglomération;53;Bretagne;1;2018-12;242900769;Project;99.6;Solaire;47.838019009, -3.841088544;29293
Trémargat;22;Côtes-d'Armor;CC du Kreiz-Breizh (CCKB);53;Bretagne;2;2018-12;242200715;;;Solaire;48.330139044, -3.267130688;22365
Trémel;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;1;2018-12;200065928;;;Solaire;48.604843651, -3.617864247;22366
Tréméreuc;22;Côtes-d'Armor;CC Côte d'Émeraude;53;Bretagne;6;2018-12;243500725;;;Solaire;48.560308582, -2.063722127;22368
Tréméven;29;Finistère;CA Quimperlé Communauté;53;Bretagne;10;2018-12;242900694;Realised;25.759999999999998;Solaire;47.902034658, -3.525064698;29297
Tréogan;22;Côtes-d'Armor;CC Poher communauté;53;Bretagne;1;2018-12;242900744;;;Solaire;48.1868073, -3.529557976;22373
Trévou-Tréguignec;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;13;2018-12;200065928;Realised;99.2;Solaire;48.811947551, -3.344943752;22379
Trévérec;22;Côtes-d'Armor;CC Leff Armor Communauté;53;Bretagne;2;2018-12;200069086;;;Solaire;48.659347668, -3.054987181;22378
Trézilidé;29;Finistère;CC du Pays de Landivisiau;53;Bretagne;6;2018-12;242900751;Realised;71.5;Solaire;48.610042324, -4.08455498;29301
Uzel;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;6;2018-12;200067460;;;Solaire;48.280903484, -2.8478563550000002;22384
Val d'Oust;56;Morbihan;CC Ploërmel Communauté;53;Bretagne;34;2018-12;200066777;Realised;285.1;Solaire;47.870810372, -2.4316804530000002;56197
Val-d'Izé;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;57;2018-12;200039022;Realised;665.1199999999999;Solaire;48.189799759, -1.305041062;35347
Vern-sur-Seiche;35;Ille-et-Vilaine;Rennes Métropole;53;Bretagne;1;2018-12;243500139;Project;85.0;Solaire;48.052798513, -1.605188505;35352
Villamée;35;Ille-et-Vilaine;CA Fougères Agglomération;53;Bretagne;7;2018-12;200072452;;;Solaire;48.455637049, -1.219292859;35357
Visseiche;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;1;2018-12;200039022;Project;90.0;Solaire;47.960294554, -1.2984902329999999;35359
Vitré;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;65;2018-12;200039022;Realised;777.9599999999998;Solaire;48.114077963, -1.193493107;35360
Étel;56;Morbihan;CC Auray Quiberon Terre Atlantique;53;Bretagne;7;2018-12;200043123;;;Solaire;47.656946505, -3.198357337;56055
Île-Tudy;29;Finistère;CC du Pays Bigouden Sud;53;Bretagne;5;2018-12;242900702;;;Solaire;47.853819881, -4.160647887;29085
Acigné;35;Ille-et-Vilaine;Rennes Métropole;53;Bretagne;48;2019-12;243500139;Realised;237.92;Solaire;48.146399173, -1.519164854;35001
Allaire;56;Morbihan;CA Redon Agglomération;53;Bretagne;30;2019-12;243500741;Realised;162.95000000000002;Solaire;47.639244905, -2.177330116;56001
Allineuc;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;2;2019-12;200067460;;;Solaire;48.311539241, -2.8671140680000002;22001
Andel;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;11;2019-12;200069391;Realised;54.50000000000001;Solaire;48.494081729, -2.5511343980000003;22002
Arbrissel;35;Ille-et-Vilaine;CC Roche aux Fées Communauté;53;Bretagne;6;2019-12;243500634;Realised;308.1;Solaire;47.92705917, -1.294990153;35005
Argentré-du-Plessis;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;82;2019-12;200039022;Realised;432.5900000000001;Solaire;48.048424988, -1.138391787;35006
